Anyone can do that.	任何人都可以做到。
It needs to be repaired.	它需要修理。
I thought Tom had heard us.	我觉得汤姆听说过我们。
How many languages can you speak?	你会说多少种语言?
I want your love.	我要你的爱。
We have plenty of time tonight.	今晚我们有充分的时间。
I'm all ears.	我洗耳恭听。
She seemed to have been ill.	好像她病了。
My grandfather is in his nineties.	我祖父九十多岁了。
I believe he is coming tomorrow.	我相信他明天会来。
I know you don't want to talk to me.	我知道你不想跟我说话。
I can play tennis.	我会打网球。
They have a very nice veranda.	他们有一个非常漂亮的暖房。
Could you help me translate this into French?	你能帮我把这译成法语吗？
He had the right idea.	他的想法是对的。
What time does the train for New York depart?	去纽约的火车几点出发？
The girls were asleep.	女孩们睡着了
Don't try to intimidate me.	别想吓唬我。
Here are some interesting links.	这里有些有趣的连结。
That hurts.	真疼。
This box is too bulky to carry.	这个箱子太笨重了无法携带。
The curtains make this room beautiful.	窗帘是房间变漂亮了。
How long do you plan on staying in this country?	你打算在这个国家待多久？
I wish you had told me that.	要是你告诉过我就好了。
Don't bother calling security.	别麻烦保安了。
The garden was filled with flowers.	花园里充满了花朵。
Be still.	静静的，别动。
How complex is it?	它有多复杂？
I wish she had come last night.	但愿她昨晚来就好了。
The simplest way is often the best way to solve a problem.	解决问题最简便的方法往往是最好的办法。
I miss you so much.	我如此想念你。
My sister married a doctor.	我妹妹嫁给了一个医生。
Wonderful!	很棒！
His observations are sharp, but he doesn't say much.	他的观察是敏锐的，但他没有说太多。
Is this the right train for Tokyo?	这是开往东京正确的火车吗?
You can buy stamps at any post office.	你在任何一家邮局都能买到邮票。
She devoted her life to working among the poor.	她一生致力于为穷人工作。
He disregarded my advice.	他不顾我的忠告。
She always lets her children do what they want to.	她总是让自己的小孩做自己想做的事。
I thought my head would explode.	我觉得我的头要炸了。
Don't try to do this by yourself.	别想靠你自己做这事。
I don't know what to say.	我不知道说什么。
Always do right. This will gratify some people and astonish the rest.	坚持做对的事情。这会满足一部分人同时使另一部分人感到惊讶。
What's the purpose of your visit?	您此行的目的是什么？
London is on the Thames.	伦敦在泰唔士河旁。
America likes to claim that it is a "classless" society.	美国是一个自称没有社会阶层的国家。
I have climbed Mt. Fuji three times.	我登过三次富士山。
I had intended to go there.	我本来打算去那里。
She's two years older than you.	她比你大两岁。
Tom said he'd think about my suggestion.	汤姆说他会考虑我的问题。
Be fair.	公平点。
How much is four times six?	6乘以4是多少?
There is an apple on the desk.	书桌上有一个苹果。
I have already finished reading this book.	我已经读完了这本书。
Tom will try and stop me for sure.	汤姆一定会试着阻挡我。
You haven't changed at all.	你一点都没变。
Why didn't you call me yesterday evening?	怎么你昨晚没有给我打电话？
Her feelings are easily hurt.	她很容易受到感情上的伤害。
Can I ask you some questions?	我能问你们一些问题吗？
Please feel free to ask questions.	欢迎随时提问。
Every time he comes here, he orders the same dish.	每次他来这里点一样的菜。
I generally agree with her.	我大致上同意她。
What should be done?	怎么办?
Let's finish up in a hurry.	让我们快点做完吧。
She doesn't like the way I speak.	她不喜欢我说话的方式。
Tom didn't talk to Mary.	汤姆没跟玛丽说话。
He is always a little irritable in the morning.	他早上总是有点脾气暴躁。
He earned his living as a teacher.	他以教书为生。
Sit wherever you like.	你爱坐哪里就坐哪里。
No one else was hurt.	没有别的人受伤。
Flying a kite can be dangerous.	放风筝可以是危险的。
The fire broke out after the staff went home.	在全体职员回家后，火事爆发了。
I don't know anything about him.	我不知道任何有关他的事。
Tom was a little late.	Tom迟到了一小段时间。
Tom had no reason to be angry.	汤姆没有动怒的理由。
I made other plans.	我另有计划。
You need to register by Monday.	你需要在星期一前注册。
The boy is wearing glasses.	这个男孩戴着眼镜。
It's a hassle trying to decide what to wear to the party.	要决定在节日的时候穿什么是件累人的事。
This bike needs to be repaired.	这辆自行车需要修理。
I heard her singing.	我听见她唱歌了。
My grades are above average.	我的成绩高于平均水平。
Is it far from here?	离这儿远吗？
You may use this car.	你可以使用这辆车。
I worked on the farm all day.	我整天在农场上工作。
Let's have dinner together.	一起吃晚饭吧。
I hate when other people make me wait a long time.	我讨厌别人让我等很久。
The dog was hit by a car.	狗被车撞了。
I don't know whether she will come.	我不知道她是否会来。
They are having a party tomorrow.	明天他们将举行派对。
My watch gains five minutes a day.	我的手表每天走快五分钟。
Would you mind saying that once more?	请你再说一次好吗？
When his food supply ran short, he had to look for a new place to live.	他的食物供给不足的的时候，他不得不去找新的地方居住。
A whale is a mammal.	鲸鱼是哺乳动物。
I want to go home.	我要回家。
Mary said she would do her homework.	玛丽说她会做她的功课。
Why don't you come dancing with me?	为什么你不来跟我跳舞？
May I pay by check?	我可以用支票付吗？
What are your plans for tonight?	你今晚有什么打算？
I grew up in the country.	我在乡下长大。
I would like to become a poet.	我想要成为诗人。
He was playing tennis all day.	他整天打网球。
What more would you want?	你还想要什么?
Mother prepared lunch for me.	妈妈为我准备了午饭。
We'll be sure to look into it.	我们将一定会观察它。
He got a loan from the bank.	他从银行得到了贷款。
Nobody believes what I say.	没有人相信我说的话。
He had his head in the clouds in class.	他在课堂上心不在焉。
She wore a red dress.	她穿了一条红色的裙子。
He has a lot of foreign stamps.	他有很多外国邮票。
I cannot afford to pay so much.	我付不起这么多钱。
It's great! You'll laugh for sure.	太棒了！你一定会笑的。
I doubt that Tom will ever learn how to speak French properly.	我对汤姆要持之以恒地学习法语口语这件事很怀疑。
His company didn't survive the crisis.	他的公司没有从危机中幸存。
Let's discuss the matter right now.	让我们马上讨论这个问题吧。
Whose bike is this?	这辆自行车是谁的？
Tom knows exactly how I like my hair done.	汤姆很清楚我喜欢什么样的发型。
She's Tom's younger sister.	她是汤姆的妹妹。
Is bungee jumping frightening or fun?	高空弹跳是恐怖还是好玩？
I believe in love.	我相信爱情。
I caught him stealing the money.	我抓到他偷钱。
